id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,Time_stamp
beam-2,0.00707029,363392870,3.07575,0.0072697,0.00681893,0.04416304,0.00429024,05-09-2025 22:02:07
wormhole,0.076312,362247896,0.2671,0.078236,0.075108,1.66,0.051583,05-09-2025 22:02:07
unit-bitcoin,110795.0,361772847,1.19138,113226.0,109390.0,124343.0,73355.0,05-09-2025 22:02:07
keeta,0.861957,361593516,6.25444,0.938384,0.792736,1.68,0.0068199,05-09-2025 22:02:07
wrapped-hype,46.75,353161800,3.33159,47.45,44.43,50.95,9.43,05-09-2025 22:02:07
gnosis,133.27,351868690,1.45848,138.05,130.2,644.2,6.88,05-09-2025 22:02:07
drift-staked-sol,232.94,351279918,0.13218,239.25,229.62,311.34,107.06,05-09-2025 22:02:07
evervalue-coin,22.7,350601850,1.37355,23.55,22.15,23.55,0.17006,05-09-2025 22:02:07
gho,0.999402,350280830,-0.03438,1.001,0.998127,1.03,0.917065,05-09-2025 22:02:07
reserve-protocol-eth-plus,4507.43,345606767,-0.61442,4702.12,4491.77,5150.57,1461.53,05-09-2025 22:02:07
eutbl,1.22,345008240,0.93638,1.22,1.21,1.22,1.011,05-09-2025 22:02:07
aethir,0.03016486,344300095,0.5167,0.03126756,0.02976373,0.118536,0.02439678,05-09-2025 22:02:07
wrapped-ether-mantle-bridge,4285.35,344274318,-1.16663,4477.37,4262.8,4962.42,1402.44,05-09-2025 22:02:07
1inch,0.243445,339990377,1.71353,0.249659,0.237823,8.65,0.149574,05-09-2025 22:02:07
zebec-network,0.00389668,337001458,-1.8671,0.00401554,0.00388983,0.00700261,0.00069854,05-09-2025 22:02:07
just,0.03399657,336729206,0.7998,0.03445568,0.03369371,0.193254,0.00476275,05-09-2025 22:02:07
staked-frax-ether,4821.62,333286686,-1.03103,5034.08,4803.62,7545.09,1147.58,05-09-2025 22:02:07
resolv-usr,0.999939,333195870,0.01812,1.0,0.999446,1.022,0.959194,05-09-2025 22:02:07
ronin,0.47127,326700715,-3.0842,0.487279,0.470203,4.45,0.196601,05-09-2025 22:02:07
deep,0.130332,326081793,2.1462,0.134534,0.126493,0.341085,0.01073218,05-09-2025 22:02:07
mog-coin,8.34123e-07,325887900,-0.21551,8.84605e-07,8.18606e-07,4.02e-06,4.526e-09,05-09-2025 22:02:07
wemix-token,0.715921,325785804,-0.39749,0.722841,0.705704,24.71,0.128398,05-09-2025 22:02:07
terra-luna,5.882e-05,323795790,1.35083,5.99e-05,5.783e-05,119.18,9.99967e-07,05-09-2025 22:02:07
venom,0.153792,322974143,0.0056,0.156998,0.152907,0.782403,0.03459851,05-09-2025 22:02:07
rekt-4,7.44718e-07,313379956,-1.32107,7.71188e-07,7.43223e-07,1.41e-06,3.1106e-08,05-09-2025 22:02:07
binance-peg-busd,0.998853,312606507,-0.19698,1.003,0.996834,1.064,0.954278,05-09-2025 22:02:07
movement,0.115214,311262026,0.2135,0.117822,0.114265,1.45,0.112218,05-09-2025 22:02:07
axelar,0.29766,306928429,2.96001,0.31372,0.288196,2.64,0.274681,05-09-2025 22:02:07
eos,0.461366,306327097,-2.30313,0.473425,0.450575,22.71,0.402746,05-09-2025 22:02:07
